Year,Status,Award,Media,Media2,Name,Url,Error
2003,Winner,Creative Use Affiliated,Democrat and Chronicle,,A Day in the Life of Our Schools,http://www.democratandchronicle.com/homes/community/schoolsindex.shtml,200
2003,Winner,General Excellence in Online Journalism Affiliated Large,ESPN,,,http://espn.go.com/,verified
2003,Winner,General Excellence in Online Journalism Independent Small,Gotham Gazette,,,http://www.gothamgazette.com/,200
2003,Winner,Commentary,Middle Seat,,Scott McCartney,"http://online.wsj.com/article/0,SB104931115963493100,00.html",200
2003,Winner,Breaking News Affiliated,New York Times,,Coverage of the war in Iraq,http://www.nytimes.com/packages/html/international/20030731_ONA/,200
2003,Winner,Feature Journalism Independent,Salon,,Day of the Dead,http://www.salon.com/news/feature/2002/12/04/juarez/,200
2003,Winner,Breaking News Independent,Space.com,,Columbia shuttle disaster,http://www.space.com/columbiatragedy/,200
2003,Winner,Enterprise Journalism Independent,Center for Public Integrity,,Well Connected,http://www.openairwaves.org,200
2003,Winner,Feature Journalism Affiliated,TimesUnion.com,,Fourth World/Our World,http://timesunion.com/fourthworld,200
2003,Winner,Creative Use Independent,University of Alaska Fairbanks,,Alaska’s Heartland Reacts to the Patriot Act,http://www.uaf.edu/extreme/,200
2003,Winner,Service Journalism Independent,WebMD,,Health in Hard Times,http://my.webmd.com/content/article/62/71769.htm?lastselectedguid={5FE84E90-BC77-4056-A91C-9531713CA348,timeout
2004,Finalist,,Ad Report Card,,Seth Stevenson,http://slate.msn.com/id/2098635,200
2004,Finalist,,Ball State University,,Friendship Stories,http://www.nonlinearstory.com/,200
2004,Finalist,,Ball State University,,NewsLink Indiana,http://www.newslinkindiana.com/,200
2004,Finalist,,Best of the Web Today,,James Taranto,http://www.opinionjournal.com/best/,200
2004,Finalist,,BusinessWeek Online,,B-Schools,http://www.businessweek.com/bschools/index.html,200
2004,Finalist,,CNN,,,http://www.cnn.com/,200
2004,Finalist,,Congressional Quarterly,,Homeland Security site,http://homeland.cq.com/,timeout
2004,Finalist,,Congressional Quarterly,,,http://www.cq.com/,200
2004,Finalist,,Consumer Reports,,Cell phones,http://www.consumerreports.org/main/content/display_report.jsp?FOLDER%3C%3Efolder_id=378613&ASSORTMENT%3C%3East_id=333133&bmUID=1090342085705,200
2004,Finalist,,ConsumerWebWatch.org,,Booking and Bidding Site Unseen,http://www.consumerwebwatch.org/news/opaque/index.html,200
2004,Finalist,,CourtTV,,Laci Peterson,http://www.courttv.com/trials/peterson/new_timeline.html,200
2004,Finalist,,CowboysPlus.com,,,http://www.cowboysplus.com/,200
2004,Finalist,,Dallas Morning News,,Runaway Priests,http://www.dallasnews.com/s/dws/spe/2004/runawaypriests/,200
2004,Finalist,,Denver Post,,Betrayal in the Ranks,"http://www.denverpost.com/Stories/0,0,36%257E30137%257E,00.html",200
2004,Finalist,,Fiscally Fit,,Terri Cullen,"http://online.wsj.com/article/0,SB107348278249487700,00.html",200
2004,Finalist,,Fresno Bee,,Mass-murder,http://www.fresnobee.com/special/2004/massacre/,200
2004,Finalist,,Frontline/World,,World Fellows,http://www.pbs.org/frontlineworld/stories/fellows.html,200
2004,Finalist,,Frontline/World,,,http://www.pbs.org/frontlineworld/,200
2004,Finalist,,Gotham Gazette,,interactive games and quizzes,http://www.gothamgazette.com/archive/interactive,200
2004,Finalist,,Houston Chronicle,,Searching for Eddie Peabody,http://www.chron.com/content/chronicle/special/04/peabody/index.html,200
2004,Finalist,,Houston Chronicle,,Special site covering SuperBowl XXXVIII,http://www.chron.com/content/chronicle/special/04/superbowl/index.html,200
2004,Finalist,,Jay Rosen,,Pressthink,http://journalism.nyu.edu/pubzone/weblogs/pressthink/,verified
2004,Finalist,,Los Angeles Times,,Outdoors,http://www.latimes.com/ona-outdoors,301
2004,Finalist,,Mayo Clinic,,,http://www.mayoclinic.com/,301
2004,Finalist,,MousePlanet,,Accident on a ride at Disneyland,http://www.mouseplanet.com/btmrr_accident/030905btmrr.htm,200
